Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Renault KWID,Renault,1.0 RXL,2019,29196,Petrol,23.01,999,67,91,1st Owner,Manual,New Delhi NCR,"3,53,994"
Hyundai i20,Hyundai,Sportz 1.4 CRDi,2016,134486,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"4,79,976"
Maruti Baleno,Maruti,1.2 Sigma,2020,3996,Petrol,21.4,1197,83.1,115,1st Owner,"RTO
HR87",New Delhi NCR,"5,79,000"
Maruti Baleno,Maruti,Alpha,2019,15413,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"7,00,801"
Maruti Alto K10,Maruti,VXI,2018,13911,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,47,460"
Maruti Swift,Maruti,LDI,2013,74496,Diesel,22.9,1248,74,190,1st Owner,Manual,New Delhi NCR,"3,03,283"
Honda Brio,Honda,VX AT,2014,26813,Petrol,16.5,1198,86.8,109,1st Owner,Automatic,New Delhi NCR,"5,10,366"
Maruti Swift,Maruti,VDI,2015,83833,Diesel,28.4,1248,74,190,2nd Owner,Manual,New Delhi NCR,"4,23,870"
Maruti Swift Dzire,Maruti,LDI,2018,54348,Diesel,28.4,1248,74.02,190,1st Owner,Manual,New Delhi NCR,"5,64,500"
Honda City,Honda,i DTEC V,2014,104585,Diesel,26,1498,98.6,200,2nd Owner,Manual,New Delhi NCR,"4,82,190"
Ford Ecosport,Ford,1.5 Diesel Ambiente BSIV,2013,124474,Diesel,23,1498,98.96,205,1st Owner,Manual,New Delhi NCR,"3,67,008"
Maruti Baleno,Maruti,Alpha,2016,21582,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,71,344"
Hyundai Xcent,Hyundai,1.1 CRDi S,2015,67936,Diesel,24.4,1120,71,180.4,1st Owner,Manual,New Delhi NCR,"3,47,244"
Maruti Alto K10,Maruti,VXI,2018,18819,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,61,000"
Maruti Swift,Maruti,LXI Option,2017,23372,Petrol,20.4,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,53,500"
Hyundai i20,Hyundai,Magna Optional 1.4 CRDi,2014,90555,Diesel,21.9,1396,88.8,219.7,1st Owner,Manual,New Delhi NCR,"2,92,500"
Maruti Swift Dzire,Maruti,VDI,2012,116238,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"3,13,500"
Maruti Alto K10,Maruti,VXI,2018,44973,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,45,000"
Maruti Baleno,Maruti,1.2 Delta,2016,57059,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"4,89,500"
Maruti Alto K10,Maruti,LXI,2016,50097,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"2,73,500"
Maruti Ignis,Maruti,1.2 Sigma BSIV,2018,19635,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,31,000"
Maruti Swift Dzire,Maruti,VXI 1.2,2018,57052,Petrol,21.21,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,80,500"
Maruti Baleno,Maruti,Alpha,2017,41867,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,09,000"
Maruti Swift,Maruti,VDI,2018,37075,Diesel,28.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"6,29,500"
Maruti Alto K10,Maruti,VXI AMT,2016,21863,Petrol,23.95,998,67.05,90,1st Owner,Automatic,New Delhi NCR,"3,48,000"
Hyundai i20,Hyundai,1.2 Asta,2017,16001,Petrol,18.6,1197,81.83,114.7,1st Owner,"RTO
DL9C",New Delhi NCR,"7,50,000"
Maruti SX4 S Cross,Maruti,DDiS 320 Alpha,2016,64465,Diesel,22.7,1598,118,320,1st Owner,Manual,New Delhi NCR,"5,83,440"
Maruti Swift,Maruti,LXI BSIV,2015,100380,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"3,65,500"
Maruti Ciaz,Maruti,1.4 AT Delta,2017,39466,Petrol,19.12,1373,91.1,130,1st Owner,Automatic,New Delhi NCR,"6,98,000"
Honda Brio,Honda,1.2 S MT,2012,37526,Petrol,18.5,1198,86.8,109,1st Owner,Manual,New Delhi NCR,"3,04,000"
Maruti Alto K10,Maruti,2010-2014 VXI,2013,63762,Petrol,20.92,998,67.1,90,1st Owner,Manual,New Delhi NCR,"2,54,500"
Maruti Baleno,Maruti,1.2 Sigma,2018,58458,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"4,93,500"
Maruti Swift,Maruti,LXI,2019,22555,Petrol,23.2,1197,88.5,113,1st Owner,Manual,New Delhi NCR,"4,85,000"
Hyundai i20,Hyundai,Asta 1.2,2015,100799,Petrol,18.6,1197,81.83,114.7,1st Owner,Manual,New Delhi NCR,"5,31,553"
Maruti Swift,Maruti,DDiS VDI,2017,97204,Diesel,28.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,91,316"
Hyundai i20,Hyundai,Sportz Option 1.4 CRDi,2015,59646,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"5,44,668"
Maruti Alto K10,Maruti,LXI,2015,85613,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"2,65,500"
Maruti Swift,Maruti,LXI,2019,38456,Petrol,21.21,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,13,500"
Hyundai i20,Hyundai,Magna 1.4 CRDi,2015,96041,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"4,73,604"
Ford Ecosport,Ford,1.5 Ti VCT MT Titanium BSIV,2016,57729,Petrol,15.85,1499,110.4,140,1st Owner,Manual,New Delhi NCR,"6,46,920"
Maruti Vitara Brezza,Maruti,ZDi Plus Dual Tone,2016,85937,Diesel,24.3,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"6,30,500"
Honda Brio,Honda,E MT,2012,56363,Petrol,19.4,1198,86.8,109,2nd Owner,Manual,New Delhi NCR,"2,90,220"
Maruti Swift,Maruti,ZXI BSIV,2014,72983,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,07,500"
Maruti Swift,Maruti,VDI,2014,79261,Diesel,22.9,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,44,211"
Maruti Swift,Maruti,ZXI Plus,2018,28730,Petrol,21.21,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,64,332"
Volkswagen Polo,Volkswagen,1.5 TDI Comfortline,2014,68205,Diesel,20.14,1498,88.8,230,2nd Owner,Manual,New Delhi NCR,"3,31,000"
Maruti Wagon R Stingray,Maruti,VXI,2016,62425,Petrol,20.51,998,67.04,90,1st Owner,"RTO
DL1C",New Delhi NCR,"3,77,079"
Toyota Etios Liva,Toyota,1.4 VD,2018,56472,Diesel,23.59,1364,67.04,170,1st Owner,Manual,New Delhi NCR,"5,41,536"
Hyundai i20,Hyundai,Asta 1.4 CRDi,2015,117327,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"4,94,500"
Maruti Ciaz,Maruti,VDi Plus SHVS,2016,78494,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"6,22,109"
Maruti Ritz,Maruti,ZXi,2011,90091,Petrol,18.5,1197,85.8,114,1st Owner,Manual,New Delhi NCR,"2,15,000"
Toyota Etios Liva,Toyota,GD,2014,67058,Diesel,23.59,1364,67.04,170,1st Owner,Manual,New Delhi NCR,"4,29,311"
Maruti Swift,Maruti,VDI,2014,78788,Diesel,22.9,1248,74,190,1st Owner,"RTO
DL4C",New Delhi NCR,"3,82,000"
Hyundai i20,Hyundai,Sportz 1.4 CRDi,2016,97760,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"5,45,000"
Maruti Ciaz,Maruti,1.4 Sigma,2017,43559,Petrol,20.73,1373,91.1,130,1st Owner,Manual,New Delhi NCR,"6,35,000"
Maruti Ciaz,Maruti,ZDi SHVS,2016,79481,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"6,00,191"
Volkswagen Ameo,Volkswagen,1.0 MPI Trendline,2019,61925,Petrol,19.44,999,75,95,2nd Owner,Manual,New Delhi NCR,"5,28,144"
Maruti Swift,Maruti,VDI,2014,95695,Diesel,28.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,20,684"
Maruti Baleno,Maruti,1.2 Sigma,2020,13258,Petrol,21.4,1197,83.1,115,1st Owner,"RTO
HR29",New Delhi NCR,"5,78,500"
Maruti Alto K10,Maruti,VXI,2019,9747,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,76,500"
Maruti Baleno,Maruti,1.2 CVT Delta,2015,61931,Petrol,21.4,1197,83.1,115,1st Owner,Automatic,New Delhi NCR,"5,36,244"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2019,26306,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,37,000"
Maruti Alto 800,Maruti,LXI,2015,21705,Petrol,22.74,796,47.3,69,1st Owner,Manual,New Delhi NCR,"2,44,212"
Maruti Swift Dzire,Maruti,LDI,2018,36883,Diesel,28.4,1248,74.02,190,1st Owner,Manual,New Delhi NCR,"5,81,388"
Maruti Swift,Maruti,LDI,2018,27038,Diesel,28.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"5,44,344"
Maruti Wagon R,Maruti,VXI,2015,62589,Petrol,21.79,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,16,000"
Hyundai Xcent,Hyundai,1.2 CRDi S,2014,92705,Diesel,25.4,1186,73.97,190.25,1st Owner,Manual,New Delhi NCR,"3,11,442"
Maruti Alto K10,Maruti,VXI,2016,41147,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"2,85,500"
Maruti Alto K10,Maruti,VXI,2018,13215,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,63,000"
Maruti Ignis,Maruti,1.2 Alpha BSIV,2017,32643,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,03,196"
Maruti Ignis,Maruti,1.2 Delta BSIV,2017,23615,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,68,960"
Volkswagen Ameo,Volkswagen,1.5 TDI Trendline,2018,16802,Diesel,21.66,1498,108.62,250,2nd Owner,Manual,New Delhi NCR,"4,82,612"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2018,10437,Petrol,22,1197,81.8,113,2nd Owner,Manual,New Delhi NCR,"5,79,000"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2018,29404,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,16,890"
Renault KWID,Renault,RXL,2019,11477,Petrol,20.71,799,53.26,72,1st Owner,Manual,New Delhi NCR,"3,31,500"
Maruti Swift,Maruti,LXI Option,2017,42412,Petrol,20.4,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,48,623"
Maruti Ignis,Maruti,1.2 Sigma BSIV,2017,18495,Petrol,20.89,1197,81.8,113,1st Owner,"RTO
DL9C",New Delhi NCR,"4,49,198"
Maruti Alto K10,Maruti,LXI,2012,79016,Petrol,23.95,998,67.05,90,2nd Owner,Manual,New Delhi NCR,"2,12,848"
Hyundai i20,Hyundai,1.2 Magna Executive,2018,40507,Petrol,18.6,1197,81.83,114.7,2nd Owner,Manual,New Delhi NCR,"5,23,000"
Maruti Alto 800,Maruti,LXI,2017,47311,Petrol,22.05,796,47.33,69,1st Owner,Manual,New Delhi NCR,"2,81,000"
Maruti Ignis,Maruti,1.2 Delta BSIV,2017,26600,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,05,500"
Maruti Baleno,Maruti,1.2 Sigma,2020,7173,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"5,78,000"
Maruti S-Presso,Maruti,VXI Plus,2020,10289,Petrol,21.7,998,67.05,90,1st Owner,"RTO
DL3C",New Delhi NCR,"4,45,000"
Maruti Baleno,Maruti,1.2 CVT Delta,2016,24290,Petrol,21.4,1197,83.1,115,1st Owner,Automatic,New Delhi NCR,"5,47,500"
Maruti Swift Dzire,Maruti,LDI,2014,78327,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"3,45,000"
Hyundai i10,Hyundai,Magna 1.1L,2013,62594,Petrol,19.81,1086,68.05,99.04,1st Owner,Manual,New Delhi NCR,"3,01,074"
Maruti Swift,Maruti,LXI Option,2015,54215,Petrol,20.4,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"3,92,000"
Maruti Wagon R,Maruti,AMT VXI,2018,32600,Petrol,20.51,998,67,90,1st Owner,Automatic,New Delhi NCR,"4,17,000"
Maruti Ciaz,Maruti,1.4 Delta,2018,24556,Petrol,20.73,1373,91.1,130,1st Owner,Manual,New Delhi NCR,"7,48,194"
Ford Ecosport,Ford,1.5 Petrol Titanium,2017,40049,Petrol,15.9,1496,120.69,149,1st Owner,"RTO
HR26",New Delhi NCR,"6,79,000"
Maruti Alto K10,Maruti,LXI,2019,4383,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,78,500"
Hyundai i20,Hyundai,Asta Opt,2018,59908,Petrol,20.35,1197,81.86,114.74,1st Owner,Manual,New Delhi NCR,"6,44,500"
Ford Ecosport,Ford,1.5 DV5 MT Titanium,2014,135819,Diesel,22.7,1498,89.84,204,1st Owner,Manual,New Delhi NCR,"4,49,048"
Maruti Ciaz,Maruti,VDi Option SHVS,2016,55985,Diesel,28.09,1248,88.5,200,2nd Owner,Manual,New Delhi NCR,"5,01,630"
Maruti Swift Dzire,Maruti,VDI,2014,64103,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,39,000"
Volkswagen Vento,Volkswagen,1.6 Highline BSIV,2011,72160,Petrol,16.09,1598,103.2,153,1st Owner,Manual,New Delhi NCR,"2,91,000"
Maruti Baleno,Maruti,1.2 Delta,2017,35289,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"5,94,186"
Maruti Alto K10,Maruti,VXI,2017,18075,Petrol,23.95,998,67.05,90,2nd Owner,Manual,New Delhi NCR,"3,28,000"
Maruti S-Presso,Maruti,VXI,2020,19749,Petrol,21.7,998,67.05,90,1st Owner,Manual,New Delhi NCR,"4,28,000"
Maruti Alto K10,Maruti,VXI,2017,26905,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,24,000"
Honda City,Honda,1.5 S MT,2009,65605,Petrol,17,1497,118,146,2nd Owner,Manual,New Delhi NCR,"2,51,500"
Volkswagen Ameo,Volkswagen,1.2 MPI Highline,2016,46846,Petrol,17,1198,73.75,110,1st Owner,Manual,New Delhi NCR,"4,59,500"
Maruti Ignis,Maruti,1.2 Delta BSIV,2018,4878,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,05,000"
Maruti Swift Dzire,Maruti,LDI,2013,136786,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"3,52,644"
Maruti Swift Dzire,Maruti,VXI 1.2,2020,17550,Petrol,21.21,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,75,000"
Maruti S-Presso,Maruti,VXI,2020,18653,Petrol,21.7,998,67.05,90,1st Owner,Manual,New Delhi NCR,"4,45,000"
Maruti Alto K10,Maruti,VXI AMT,2017,44151,Petrol,23.95,998,67.05,90,2nd Owner,Automatic,New Delhi NCR,"3,29,000"
Hyundai i20,Hyundai,Magna 1.4 CRDi,2017,65609,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"5,68,500"
Hyundai i20,Hyundai,Asta 1.4 CRDi,2014,134322,Diesel,21.27,1396,88.76,219.6,1st Owner,Manual,New Delhi NCR,"3,86,970"
Toyota Etios Liva,Toyota,VX,2011,129346,Petrol,18.3,1197,78.9,104,1st Owner,Manual,New Delhi NCR,"2,54,904"
Maruti Swift,Maruti,VDI,2017,42888,Diesel,28.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"5,00,000"
Maruti Swift Dzire,Maruti,ZDI,2015,101807,Diesel,26.59,1248,74,190,1st Owner,Manual,New Delhi NCR,"5,01,000"
Maruti Swift,Maruti,VDI BSIV,2015,76418,Diesel,25.2,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,09,500"
Maruti Ciaz,Maruti,1.3 Delta,2017,89418,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"5,89,974"
Maruti Ciaz,Maruti,VDi,2014,77891,Diesel,26.21,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"5,07,000"
Maruti Baleno,Maruti,Delta,2016,55291,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,87,500"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2018,38694,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,79,000"
Maruti Baleno,Maruti,1.2 Delta,2015,58938,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"4,90,193"
Volkswagen Polo,Volkswagen,1.0 MPI Highline Plus BSIV,2019,27886,Petrol,18.78,999,75,95,1st Owner,Manual,New Delhi NCR,"5,95,000"
Hyundai i20,Hyundai,Sportz Option 1.2,2014,67676,Petrol,18.6,1197,81.83,114.7,1st Owner,Manual,New Delhi NCR,"4,96,122"
Hyundai i20,Hyundai,1.2 Spotz,2018,40899,Petrol,18.6,1197,81.83,114.7,1st Owner,"RTO
DL10",New Delhi NCR,"6,23,801"
Honda City,Honda,i DTec V,2016,74389,Diesel,26,1498,98.6,200,1st Owner,Manual,New Delhi NCR,"6,01,500"
Maruti Swift Dzire,Maruti,LDI Optional,2015,66420,Diesel,26.59,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,27,272"
Maruti Baleno,Maruti,1.3 Alpha,2015,65425,Diesel,27.39,1248,74,190,1st Owner,Manual,New Delhi NCR,"5,11,500"
Hyundai Santa Fe,Hyundai,4WD AT,2012,118874,Diesel,13.01,2199,194.3,436.39,2nd Owner,Automatic,New Delhi NCR,"5,72,500"
Maruti Ignis,Maruti,Delta,2018,15996,Petrol,20.89,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,94,500"
Maruti Swift,Maruti,AMT ZXI,2018,20878,Petrol,22,1197,81.8,113,1st Owner,Automatic,New Delhi NCR,"6,68,578"
Maruti Swift,Maruti,LDI,2012,65437,Diesel,22.9,1248,74,190,1st Owner,Manual,New Delhi NCR,"2,89,500"
Maruti Ritz,Maruti,VXi,2015,8566,Petrol,18.5,1197,85.8,114,1st Owner,Manual,New Delhi NCR,"3,57,500"
Maruti Ciaz,Maruti,Sigma Diesel,2017,51421,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"6,24,000"
Toyota Etios,Toyota,GD,2013,80471,Diesel,23.59,1364,88,132,1st Owner,Manual,New Delhi NCR,"3,46,500"
Ford Ecosport,Ford,1.5 Diesel Titanium Plus BSIV,2018,80505,Diesel,23,1498,98.96,205,2nd Owner,Manual,New Delhi NCR,"7,38,000"
Volkswagen Vento,Volkswagen,Diesel Comfortline,2012,75505,Diesel,20.54,1598,103.6,250,2nd Owner,Manual,New Delhi NCR,"2,74,500"
Maruti Swift Dzire,Maruti,AMT ZDI,2015,64352,Diesel,26.59,1248,74,190,2nd Owner,Automatic,New Delhi NCR,"5,00,000"
Honda City,Honda,i VTEC VX Option,2015,98792,Petrol,17.4,1497,117.3,145,1st Owner,Manual,New Delhi NCR,"6,83,988"
Maruti Ciaz,Maruti,ZDi Plus,2015,54217,Diesel,26.21,1248,88.5,200,1st Owner,"RTO
HR51",New Delhi NCR,"6,24,000"
Honda City,Honda,VX CVT,2015,96400,Petrol,17.4,1497,117.6,145,1st Owner,Automatic,New Delhi NCR,"6,76,500"
Maruti Swift,Maruti,VXI,2018,6071,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,46,920"
Renault KWID,Renault,1.0 RXT AMT Opt BSIV,2019,12846,Petrol,24.04,999,67,91,1st Owner,Automatic,New Delhi NCR,"4,30,374"
Hyundai i20,Hyundai,Asta 1.4 CRDi,2015,79553,Diesel,22.54,1396,88.73,219.7,1st Owner,Manual,New Delhi NCR,"4,68,960"
Maruti Alto 800,Maruti,LXI,2017,25165,Petrol,24.7,796,47.3,69,1st Owner,Manual,New Delhi NCR,"3,29,258"
Maruti Swift Dzire,Maruti,VXI 1.2,2018,22316,Petrol,21.21,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,97,027"
Maruti Ignis,Maruti,Delta AMT,2019,6179,Petrol,20.89,1197,81.8,113,1st Owner,Automatic,New Delhi NCR,"5,57,000"
Honda City,Honda,i VTEC V,2015,104077,Petrol,17.4,1497,117.3,145,1st Owner,Manual,New Delhi NCR,"5,41,500"
Maruti Swift,Maruti,VXI Optional,2016,53525,Petrol,20.4,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,11,020"
Honda City,Honda,i VTEC V,2016,37257,Petrol,17.8,1497,117.3,145,2nd Owner,Manual,New Delhi NCR,"6,69,693"
Maruti Baleno,Maruti,1.2 CVT Delta,2016,44802,Petrol,21.4,1197,83.1,115,1st Owner,Automatic,New Delhi NCR,"5,31,500"
Volkswagen Ameo,Volkswagen,1.2 MPI Highline,2016,39784,Petrol,17,1198,73.75,110,1st Owner,Manual,New Delhi NCR,"4,95,744"
Maruti Swift Dzire,Maruti,VXI 1.2,2018,6937,Petrol,21.21,1197,81.8,113,1st Owner,"RTO
DL9C",New Delhi NCR,"6,54,000"
Maruti Alto 800,Maruti,LXI BSIV,2020,1877,Petrol,24.7,796,47.3,69,1st Owner,Manual,New Delhi NCR,"3,71,000"
Maruti Baleno,Maruti,1.2 Delta,2018,18792,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"5,65,000"
Maruti Ciaz,Maruti,VDi Plus SHVS,2016,136776,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"5,21,016"
Maruti Swift Dzire,Maruti,VDI,2018,39328,Diesel,28.4,1248,74.02,190,1st Owner,Manual,New Delhi NCR,"6,16,500"
Maruti Swift Dzire,Maruti,VDI,2019,52212,Diesel,28.4,1248,74.02,190,1st Owner,Manual,New Delhi NCR,"6,61,500"
Maruti Swift,Maruti,LXI Option,2015,20518,Petrol,20.4,1197,81.8,113,2nd Owner,Manual,New Delhi NCR,"3,85,000"
Maruti Swift,Maruti,VDI BSIV,2015,78623,Diesel,25.2,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,30,000"
Maruti Ciaz,Maruti,1.4 Alpha,2017,24237,Petrol,20.73,1373,91.1,130,2nd Owner,Manual,New Delhi NCR,"7,06,884"
Hyundai i20,Hyundai,1.2 Spotz,2018,42964,Petrol,18.6,1197,81.83,114.7,1st Owner,Manual,New Delhi NCR,"6,57,879"
Honda Amaze,Honda,S i-VTEC,2019,21276,Petrol,17.8,1198,86.7,109,1st Owner,Manual,New Delhi NCR,"6,40,430"
Maruti Alto K10,Maruti,VXI,2018,15164,Petrol,23.95,998,67.05,90,1st Owner,Manual,New Delhi NCR,"3,61,000"
Maruti Ciaz,Maruti,1.4 Delta,2017,24238,Petrol,20.73,1373,91.1,130,2nd Owner,Manual,New Delhi NCR,"6,90,414"
Maruti Baleno,Maruti,1.2 CVT Delta,2017,39462,Petrol,21.4,1197,83.1,115,1st Owner,Automatic,New Delhi NCR,"5,68,000"
Maruti Swift,Maruti,VXI,2013,74882,Petrol,18.6,1197,85.8,114,1st Owner,Manual,New Delhi NCR,"3,44,000"
Hyundai Grand i10,Hyundai,Magna,2019,6928,Petrol,18.9,1197,81.86,113.75,1st Owner,Manual,New Delhi NCR,"5,24,000"
Maruti Swift Dzire,Maruti,VDI,2015,88285,Diesel,26.59,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,56,500"
Maruti Swift,Maruti,LXI Option,2017,63614,Petrol,20.4,1197,81.8,113,4th Owner,Manual,New Delhi NCR,"4,36,000"
Volkswagen Polo,Volkswagen,1.0 MPI Comfortline,2018,13739,Petrol,17.74,999,75.1,95,1st Owner,Manual,New Delhi NCR,"6,08,500"
Maruti Alto K10,Maruti,LXI Optional,2017,34854,Petrol,23.95,998,67.1,90,1st Owner,Manual,New Delhi NCR,"3,05,000"
Maruti Ciaz,Maruti,ZDi Plus SHVS,2016,107247,Diesel,28.09,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"5,66,430"
Maruti Baleno,Maruti,1.2 Zeta,2018,17036,Petrol,21.4,1197,83.1,115,1st Owner,Manual,New Delhi NCR,"6,45,500"
Maruti Swift Dzire,Maruti,VDI,2013,95912,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"3,65,000"
Maruti Alto K10,Maruti,2010-2014 VXI,2011,64147,Petrol,20.92,998,67.1,90,1st Owner,Manual,New Delhi NCR,"1,78,500"
Maruti Baleno,Maruti,Delta,2015,49192,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"4,66,500"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2018,18318,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,08,000"
Hyundai i20,Hyundai,Sportz 1.2,2017,52938,Petrol,18.6,1197,81.83,114.7,1st Owner,Manual,New Delhi NCR,"5,52,000"
Maruti Alto 800,Maruti,VXI,2017,23845,Petrol,24.7,796,47.3,69,1st Owner,Manual,New Delhi NCR,"2,83,500"
Hyundai Grand i10,Hyundai,1.2 Kappa Magna BSIV,2018,14880,Petrol,18.9,1197,81.86,113.75,1st Owner,Manual,New Delhi NCR,"4,79,500"
Maruti Swift Dzire,Maruti,VXI 1.2 BS IV,2018,49514,Petrol,22,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"5,79,500"
Maruti Swift Dzire,Maruti,VXI,2014,89888,Petrol,19.1,1197,85.8,114,1st Owner,Manual,New Delhi NCR,"3,72,000"
Maruti Alto K10,Maruti,2010-2014 VXI,2012,42641,Petrol,20.92,998,67.1,90,1st Owner,Manual,New Delhi NCR,"2,24,000"
Honda WR-V,Honda,i-DTEC S,2018,61372,Diesel,25.5,1498,98.6,200,1st Owner,Manual,New Delhi NCR,"6,69,500"
Maruti Swift Dzire,Maruti,VDI,2014,63004,Diesel,23.4,1248,74,190,1st Owner,Manual,New Delhi NCR,"4,45,450"
Maruti Vitara Brezza,Maruti,VDi,2017,71848,Diesel,24.3,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"6,98,000"
Maruti Baleno,Maruti,Zeta,2019,27729,Petrol,21.01,1197,81.8,113,1st Owner,Manual,New Delhi NCR,"6,55,000"
Hyundai i10,Hyundai,Sportz,2013,102452,Petrol,20.36,1197,78.9,111.8,2nd Owner,Manual,New Delhi NCR,"2,39,500"
Renault KWID,Renault,1.0 RXT Optional,2017,12125,Petrol,23.01,999,67,91,1st Owner,Manual,New Delhi NCR,"3,06,000"
Hyundai i20,Hyundai,Sportz 1.4 CRDi,2012,86803,Diesel,21.9,1396,88.76,219.6,1st Owner,Manual,New Delhi NCR,"2,95,000"
Maruti Vitara Brezza,Maruti,ZDi,2017,80132,Diesel,24.3,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"7,46,000"
Maruti Vitara Brezza,Maruti,ZDi,2017,33434,Diesel,24.3,1248,88.5,200,1st Owner,Manual,New Delhi NCR,"7,50,000"
