Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Mercedes-Benz M-Class,Mercedes,ML 250 CDI,2015,36000,Diesel,15.26,2143,203.2,500,First Owner,Automatic,Kolkata,3250000
Audi A3 cabriolet,Audi,40 TFSI Premium Plus,2015,49000,Petrol,16.6,1798,177,250,First Owner,Automatic,Kolkata,3500000
Audi A6,Audi,2.0 TDI Premium Plus,2015,31000,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Kolkata,2095000
Audi A6,Audi,2.0 TDI Premium Plus,2014,34900,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Kolkata,1725000
Mercedes-Benz GLA Class,Mercedes,200 CDI SPORT,2014,40000,Diesel,17.9,2143,136,300,First Owner,Automatic,Kolkata,1600000
BMW X1,BMW,sDrive20d,2014,46000,Diesel,17.05,1995,184,380,First Owner,Automatic,Kolkata,1385000
Audi A4,Audi,2.0 TDI Multitronic,2014,33199,Diesel,16.55,1968,140,320,First Owner,Automatic,Kolkata,1249000
Porsche Boxster,Porsche,S tiptronic,2014,26898,Petrol,8.6,2706,265,280,First Owner,Automatic,Kolkata,5500000
Audi Q5,Audi,2.0 TDI Premium Plus,2014,34000,Diesel,14.16,1968,174.3,380,First Owner,Automatic,Kolkata,2375000
Jaguar XF,Jaguar,2.2 Litre Luxury,2013,41000,Diesel,16.36,2179,187.7,450,First Owner,Automatic,Kolkata,1950000
Mercedes-Benz B Class,Mercedes,B180 CDI,2013,47601,Diesel,14.8,2143,120.7,200,Second Owner,Automatic,Kolkata,1200000
Jaguar XF,Jaguar,2.2 Litre Luxury,2013,6000,Diesel,16.36,2179,187.7,450,First Owner,Automatic,Kolkata,1850000
Mercedes-Benz New C-Class,Mercedes,C 220 CDI BE Avantgare,2013,73923,Diesel,14.84,2143,167.62,400,Third Owner,Automatic,Kolkata,1199000
Audi Q7,Audi,3.0 TDI Quattro Premium Plus,2012,43000,Diesel,12.07,2967,241.4,550,First Owner,Automatic,Kolkata,1600000
BMW X3,BMW,xDrive20d,2012,43000,Diesel,16.09,1995,184,380,First Owner,Automatic,Kolkata,1450000
BMW 3 Series,BMW,320d,2011,43000,Diesel,13.2,1995,170,350,First Owner,Automatic,Kolkata,925000
BMW 3 Series,BMW,320d Sedan,2011,41000,Diesel,16.07,1995,181,380,First Owner,Automatic,Kolkata,925000
BMW 5 Series,BMW,523i,2011,43425,Petrol,10.8,2497,150,250,Second Owner,Automatic,Kolkata,1149000
